,abstract,pub_date,type_of_material,word_count,print_page,headline,section_name,subsection_name
8646,"He made a splash with a hoop earring called the Stella, seen first on “Sex and the City” and soon worn by Hollywood A-listers and many others.",2020-06-10T20:44:37+0000,Obituary (Obit),959,26.0,"Roberto Faraone Mennella, Jewelry Innovator, Is Dead at 48",Fashion & Style,
8647,It might be a while before we can offer a hug or handshake.But that’s OK.,2020-06-11T02:31:36+0000,News,1469,8.0,What Will Greetings Look Like in a Post-Coronavirus World?,Smarter Living,
8649,"There’s no playbook for living through a pandemic, so we decided to create one. With some basic rules to guide you, everyone can lower risk and live a full life while we wait for the virus to get under control.",2020-06-09T09:00:13+0000,News,1549,7.0,5 Rules to Live By During a Pandemic,Well,Live
8650,Owners are becoming reluctant to borrow from the federal Paycheck Protection Program. Some are even returning money.,2020-06-10T12:51:02+0000,News,1359,1.0,$130 Billion in Small-Business Aid Still Hasn’t Been Used,Business Day,
8656,"New cases are rising in almost half of the states. But in the capital, restless lawmakers and White House officials appear ready to focus on other subjects.",2020-06-10T21:45:54+0000,News,1424,6.0,"As Coronavirus Infections Climb, Washington Moves On to Other Business",U.S.,Politics
8657,"The Dutch food delivery company beat out Uber to buy Grubhub, whose chief executive will oversee operations in North America.",2020-06-10T18:43:22+0000,News,667,5.0,Just Eat Takeaway to Acquire Grubhub for $7.3 Billion,Technology,
8658,"Gen. Mark A. Milley, the top military official in the United States, apologized for his role in President Trump’s walk across Lafayette Square after the authorities used tear gas and rubber bullets to clear peaceful protesters.",2020-06-11T15:56:51+0000,Video,0,,"‘It Was a Mistake,’ Milley Says of Participating in Trump Photo Op",U.S.,Politics
8661,"Congress is looking into whether Secretary of State Mike Pompeo asked President Trump to fire Steve Linick, the department’s inspector general, to retaliate for investigations.",2020-06-10T22:41:34+0000,News,1010,19.0,Pompeo Aide Who Pushed Saudi Arms Sale Said to Have Pressured Inspector General,U.S.,Politics
8664,The latest on stock market and business news during the coronavirus outbreak.,2020-06-10T09:33:06+0000,News,2378,,Fed Expects Unemployment Rate to Stay High,Business Day,
8665,"He was compared to Heller, Mailer and Styron, and though he never achieved their celebrity, he was beloved by his students and readers. He died in the coronavirus pandemic.",2020-06-11T16:58:55+0000,Obituary (Obit),546,21.0,"Nicholas Rinaldi, Writer of Character-Rich Novels, Dies at 86",Books,
8666,A police officer was charged with assault after he was recorded on video shoving a woman to the ground during a  protest against police brutality.,2020-06-10T09:23:19+0000,briefing,1257,,Protests in N.Y.C.: Police Officer Is Charged With Assault,New York,
8667,A C.D.C. study found that some sailors showed protection against the coronavirus three months after the onset of symptoms.,2020-06-09T23:15:00+0000,News,500,,"After Outbreak on Carrier Roosevelt, Many Have Antibodies",Health,
8668,"He expected to be the Brexit leader. Instead, he has presided uncomfortably over a public health crisis, an economic collapse and a racial reckoning.",2020-06-10T21:19:52+0000,News,1109,24.0,"As Prime Minister, Boris Johnson Struggles to Find His Voice",World,Europe
8670,More than 1.5 million sought state unemployment benefits last week as layoffs spread to more job categories even as businesses reopened.,2020-06-11T13:13:43+0000,News,1431,1.0,Sobering Jobs Outlook: ‘We’re Expecting a Long Haul’,Business Day,Economy
8671,"“My Administration will not even consider the renaming of these Magnificent and Fabled Military Installations,” President Trump tweeted Wednesday.",2020-06-10T17:46:01+0000,News,1519,,The Army Was Open to Replacing Confederate Base Names. Then Trump Said No.,Magazine,
8672,"A White House official said Mr. Bolton would be given a redacted version of his manuscript by June 19, four days before the book’s current publication date.",2020-06-10T17:20:13+0000,News,622,,White House Tells Bolton His Book Still Contains Classified Information,U.S.,Politics
8674,"As Brazil reels from its worst crisis in decades, President Bolsonaro and his allies are using the prospect of military intervention to protect his grip on power.",2020-06-10T05:00:14+0000,News,1665,1.0,Threat of Military Action Rattles Brazil as Virus Deaths Surge,World,Americas
8676,"Online financial service companies are filling a gap, especially as companies have altered how they work.",2020-06-10T09:00:17+0000,News,1090,7.0,What Are Fintechs and How Can They Help Small Business?,Business Day,Economy
8678,"The president’s first rally since the coronavirus shuttered most of the country will take place on Juneteenth, which commemorates the end of slavery, in the city where one of the worst racist massacres in American history took place.",2020-06-10T20:39:35+0000,News,833,,Trump Will Return to Campaign Trail With Rally in Tulsa,U.S.,Politics
8689,"While some lawmakers want to continue substantial aid for millions of unemployed workers, others are concerned that the money is holding back a recovery that depends on employees returning to work.",2020-06-11T09:00:31+0000,News,1215,7.0,"With Jobless Benefits Set to Lapse, Congress Is at Odds Over an Extension",U.S.,Politics
8690,When is research considered reliable? The answer isn’t always fully known. Here’s the approach our journalists take in evaluating studies and their results.,2020-06-09T23:59:47+0000,News,662,2.0,How Times Reporters Handle Scientific Studies,Times Insider,
8691,The campaign will urge its supporters to push the social media giant to strengthen its rules against misinformation and harmful comments.,2020-06-11T16:00:46+0000,News,1308,15.0,Biden Prepares Attack on Facebook’s Speech Policies,Technology,
8692,"Jahmel Leach, 16, was shocked with a stun gun and his face was bloodied as he was taken into custody in the Bronx on June 1.",2020-06-11T16:04:16+0000,News,685,22.0,Injuries to Teenager During Protest Arrest Are Under Investigation,New York,
8693,"The operation is believed to be the first of its kind in the U.S. The patient, a woman in her 20s, had been healthy, but the coronavirus devastated her lungs.",2020-06-11T11:00:11+0000,News,774,5.0,"Covid-19 Patient Gets Double Lung Transplant, Offering Hope for Others",Health,
8694,"Once elected, criminal justice reformers face nasty attacks.",2020-06-11T19:28:20+0000,Op-Ed,1059,,The People Who Undermine Progressive Prosecutors,Opinion,
8695,"Joseph R. Biden Jr., his Democratic opponent, accused the president of dividing the country.",2020-06-11T23:50:28+0000,News,1085,18.0,"Trump Defends Police, but Says He’ll Sign Order Encouraging Better Practices",U.S.,Politics
8696,His entire political career has been marked by personal loss. His allies say that makes him uniquely capable of leading a nation grappling with death.,2020-06-11T07:00:19+0000,News,2930,1.0,"Joe Biden, Emissary of Grief",U.S.,Politics
8697,"New York City’s public advocate has become a champion to many of the protesters, raising hopes that he may run for mayor next year.",2020-06-11T20:00:12+0000,News,1408,21.0,"Protests Upend Mayor’s Race, and Eyes Turn to Jumaane Williams",New York,
